place_id,name,district_id,type
158,Pirojpur DC Park,52,Riverine Tourism
159,Mathurapur Dewul,53,Archaeological and Historical Tourism
160,Mir Mosharraf Hossain Memorial Center,53,Other
161,Goalanda Ghat,53,Riverine Tourism
162,Varendra Research Museum,54,Other
163,Bagha Mosque,54,Pilgrimage/Spiritual Tourism
164,Rainey Park,54,Other
165,Shuvolong Falls,55,Eco-Tourism
166,Kaptai Lake,55,Eco-Tourism
167,Chakma Rajbari,55,Archaeological and Historical Tourism
168,Tajhat Palace,56,Archaeological and Historical Tourism
169,Vinnya Jagat Amusement Park,56,Other
170,Rangpur Museum,56,Other
171,Mozaffar Garden & Resort,57,Other
172,Kalaroa,57,Other
173,Satkhira,57,Other
174,Modern Fantasy Kingdom,58,Other
175,Burir Hat Zamindar Bari,58,Archaeological and Historical Tourism
176,Shariatpur Sadar,58,Other
177,Modhutila Eco Park,59,Eco-Tourism
178,Garo Hills,59,Eco-Tourism
179,Jhenaigati,59,Eco-Tourism
180,Bangabandhu Eco-park,60,Eco-Tourism
181,Rabindranath Tagore's Kacharibari,60,Archaeological and Historical Tourism
182,China Dam,60,Other
183,Tanguar Haor,61,Eco-Tourism
184,Hason Raja Museum,61,Archaeological and Historical Tourism
185,Shimul Bagan,61,Eco-Tourism
186,Hazrat Shahjalal Mazar Sharif,62,Pilgrimage/Spiritual Tourism
187,Jaflong,62,Riverine Tourism
188,Ratargul Swamp Forest,62,Eco-Tourism
189,Madhupur National Park,63,Eco-Tourism
190,Atia Mosque,63,Pilgrimage/Spiritual Tourism
191,Jamuna Bridge,63,Other
192,Ramsagar National Park,15,Eco-Tourism
